comparison,layer,n_train,n_eval,direction_norm,delta_norm_mean,delta_norm_std,projection_mean,projection_std,cosine_mean,cosine_std,probe_position
refusal_prefix-plain,0,32,32,1.2162566184997559,1.2162566184997559,0.0,1.2162567377090454,0.0,1.0000001192092896,0.0,assistant_header_token
refusal_prefix-plain,1,32,32,1.8109983205795288,1.8422802686691284,0.03960825875401497,1.8177661895751953,0.024865003302693367,0.9868742227554321,0.009635929949581623,assistant_header_token
refusal_prefix-plain,2,32,32,2.4329397678375244,2.478945016860962,0.041458792984485626,2.4336538314819336,0.02921278215944767,0.9818527698516846,0.010567350313067436,assistant_header_token
refusal_prefix-plain,3,32,32,3.4582812786102295,3.5360240936279297,0.0682196095585823,3.457545280456543,0.06547702103853226,0.9778589606285095,0.00958162546157837,assistant_header_token
refusal_prefix-plain,4,32,32,4.36572790145874,4.5451202392578125,0.07918361574411392,4.386013984680176,0.06838784366846085,0.9650998711585999,0.012130708433687687,assistant_header_token
refusal_prefix-plain,5,32,32,5.092653274536133,5.368516445159912,0.10178657621145248,5.040309906005859,0.13684648275375366,0.9389809370040894,0.023345865309238434,assistant_header_token
refusal_prefix-plain,6,32,32,5.376960754394531,5.869768142700195,0.1631535440683365,5.364929676055908,0.17534099519252777,0.9144749641418457,0.03314322233200073,assistant_header_token
refusal_prefix-plain,7,32,32,5.549454212188721,6.230400085449219,0.26757749915122986,5.493034362792969,0.260128378868103,0.882697582244873,0.045824382454156876,assistant_header_token
refusal_prefix-plain,8,32,32,5.628904819488525,6.464206695556641,0.34899601340293884,5.55034875869751,0.30479300022125244,0.860174834728241,0.051712293177843094,assistant_header_token
refusal_prefix-plain,9,32,32,5.752651691436768,6.813863277435303,0.5054474472999573,5.716648578643799,0.3821280002593994,0.8415448069572449,0.059648722410202026,assistant_header_token
refusal_prefix-plain,10,32,32,5.516334056854248,6.797123432159424,0.4519873857498169,5.5230488777160645,0.34198546409606934,0.8159377574920654,0.069784015417099,assistant_header_token
refusal_prefix-plain,11,32,32,5.90907621383667,7.297043800354004,0.39062052965164185,6.013019561767578,0.3783918023109436,0.8264456987380981,0.06648755818605423,assistant_header_token
refusal_prefix-plain,12,32,32,6.500611305236816,7.875819206237793,0.35925012826919556,6.569120407104492,0.43296554684638977,0.8366222977638245,0.0734734982252121,assistant_header_token
